Protein	Beg	End	Reference
SHC4	9896821	9870125	chr10
SECISBP2L	9925296	9899703	chr10
COPS2	9953887	9932684	chr10
GALK2	9954985	10004823	chr10
FGF7	10039234	10066330	chr10
FAM227B	10084562	10069222	chr10
LOC770318	10084599	10090009	chr10
SPATA5L1	10160589	10167589	chr10
MIR147-1	10170161	10170230	chr10
SLC30A4	10195170	10180553	chr10
PLDN	10196791	10202569	chr10
SQRDL	10205433	10217756	chr10
ITGB1BP3	10220526	10218226	chr10
LOC100859848	10220987	10231197	chr10
SPPL2A	10235329	10263082	chr10
TRPM7	10272813	10325885	chr10
LOC101747474	10325967	10333473	chr10
USP8	10353834	10330914	chr10
GABPB1	10361822	10375438	chr10
HDC	10377701	10387198	chr10
GATM	10400603	10413630	chr10
PDE8A	10424007	10557220	chr10
LOC415456	10562059	10565422	chr10
MIR3540	10562408	10562469	chr10
FSD2	10585218	10564989	chr10
WHDC1	10587146	10600392	chr10
HOMER2	10660911	10609664	chr10
LOC101748249	10672396	10671734	chr10
FAM103A1	10672687	10675907	chr10
C10H15ORF40	10694977	10690419	chr10
BTBD1	10708346	10695062	chr10
TM6SF1	10716606	10735648	chr10
HDGFRP3	10758744	10744437	chr10
BNC1	10865960	10790204	chr10
SH3GL3	10909300	10952467	chr10
LMNA	10971103	10959326	chr10
ADAMTSL3	10980797	11159360	chr10
FAM154B	11167706	11158627	chr10
EFTUD1	11167729	11223779	chr10
LOC101749085	11380819	11353240	chr10
LOC101749124	11501530	11512234	chr10
LOC101749170	11513941	11521955	chr10
LOC101749215	11540828	11546184	chr10
TMC3	11576128	11593457	chr10
STARD5	11594617	11598865	chr10
IL16	11641278	11600453	chr10
C10H15ORF26	11656729	11651637	chr10
LOC415472	11683069	11699763	chr10
MESDC1	11718429	11716218	chr10
LOC415474	11718742	11721718	chr10
MESDC2	11728514	11734390	chr10
KIAA1199	11840252	11737235	chr10
TMEM2	11844260	11795535	chr10
ABHD17C	11877912	11847474	chr10
LOC101749939	11891978	11887044	chr10
ARNT2	11994240	11901218	chr10
LOC770268	12022572	12055481	chr10
FAH	12070369	12059545	chr10
ZFAND6	12112974	12073350	chr10
BCL2A1	12129782	12131797	chr10
MTHFS	12134399	12155503	chr10
LOC770352	12186434	12155611	chr10
LOC101750317	12204731	12188610	chr10
LOC101750360	12238115	12234924	chr10
KIAA1024	12252119	12243797	chr10
PEX11A	12308250	12313558	chr10
PLIN1	12315435	12319628	chr10
KIF7	12320280	12329790	chr10
LOC101749425	12338463	12330737	chr10
C10H15ORF42	12347339	12338933	chr10
RHCG	12352256	12360181	chr10
POLG	12437001	12445521	chr10
FANCI	12467989	12445139	chr10
RLBP1	12468870	12473059	chr10
ABHD2	12514232	12474606	chr10
MFGE8	12525828	12533125	chr10
HAPLN3	12535447	12539428	chr10
ACAN	12583605	12540430	chr10
AEN	12626689	12624000	chr10
MIR1720	12627196	12627132	chr10
MIR7-2	12627365	12627267	chr10
MIR3529	12627271	12627361	chr10
LOC101751360	12635774	12640604	chr10
DET1	12642018	12664397	chr10
MRPS11	12667185	12663654	chr10
MRPL46	12667215	12669762	chr10
LOC101751754	12675278	12693343	chr10
LOC101751792	12701617	12695675	chr10
NTRK3	12720617	12898583	chr10
AGBL1	13402797	13115645	chr10
KLHL25	13447549	13461322	chr10
AKAP13	13536691	13467954	chr10
LOC101752214	13625417	13554948	chr10
LOC101752181	13637348	13638601	chr10
LOC101747292	13677836	13673655	chr10
SV2B	13679644	13728177	chr10
LOC101747399	13815491	13835875	chr10
SLCO3A1	13838146	13949709	chr10
LOC101747558	13977810	13994169	chr10
ST8SIA2	13995208	14019205	chr10
FAM174B	14055900	14038598	chr10
LOC101747585	14055921	14077597	chr10
CHD2	14084889	14110983	chr10
CHD2	14111803	14165706	chr10
LOC101747724	14120977	14125902	chr10
MIR1611	14127514	14127595	chr10
RGMA	14183205	14169410	chr10
LOC100858322	14190820	14202812	chr10
LOC101747912	14224463	14233298	chr10
LOC101747955	14310310	14308098	chr10
LOC101748002	14375373	14438136	chr10
LOC426324	14461126	14573681	chr10
LOC101748250	14588480	14597509	chr10
LOC101748299	14606677	14607844	chr10
LOC101748407	15173915	14917658	chr10
NR2F2	15328286	15333882	chr10
LOC101748621	15347977	15340970	chr10
MIR1680	15365468	15365556	chr10
LOC101749500	15388506	15407274	chr10
LOC768429	15416739	15409012	chr10
LOC101748903	15823204	15841937	chr10
LOC101748859	15913364	15904045	chr10
LOC101748819	15915267	15953961	chr10
ARRDC4	15958078	15967266	chr10
LOC101748692	16095959	16026363	chr10
MIR1813-2	16080572	16080645	chr10
FAM169B	16167122	16123496	chr10
PGPEP1L	16161530	16172608	chr10
IGF1R	16320955	16180676	chr10
LOC101749171	16360013	16351232	chr10
SYNM	16360184	16380624	chr10
LRRC28	16400550	16449276	chr10
LOC101749253	16496725	16451967	chr10
MEF2A	16497421	16572147	chr10
MIR1737	16575378	16575470	chr10
LYSMD4	16584656	16575678	chr10
ADAMTS17	16763594	16584630	chr10
CERS3	16819016	16779818	chr10
LINS	16836886	16824159	chr10
ASB7	16837053	16865516	chr10
LOC101750027	16887461	16892815	chr10
LOC101750074	16896890	16908119	chr10
ALDH1A3	16932375	16967358	chr10
LOC101750259	16968989	16971911	chr10
LRRK1	16971796	17037321	chr10
CHSY1	17095709	17039697	chr10
LOC101750410	17101389	17105566	chr10
VIMP	17115643	17108666	chr10
SNRPA1	17120836	17115825	chr10
PCSK6	17146639	17123730	chr10
PLEKHO2	17158937	17185201	chr10
ANKDD1A	17199730	17220109	chr10
SPG21	17223522	17214064	chr10
CLPX	17224900	17244651	chr10
PDCD7	17244356	17258959	chr10
KBTBD13	17263786	17260300	chr10
RASL12	17264692	17272073	chr10
OSTBETA	17279628	17269571	chr10
MTFMT	17280385	17285281	chr10
CILP	17300070	17289612	chr10
CGNRH-R	17307281	17309629	chr10
PARP16	17317364	17314087	chr10
IGDCC3	17420731	17332830	chr10
MIR1722	17345685	17345594	chr10
IGDCC4	17505495	17425155	chr10
DPP8	17541066	17516309	chr10
PTPLAD1	17541587	17551231	chr10
C10H15ORF44	17561266	17551409	chr10
SLC24A1	17564942	17579916	chr10
DENND4A	17628407	17580963	chr10
TRNAQ-CUG	17645885	17645814	chr10
RAB11A	17646169	17662292	chr10
MEGF11	17938187	17662129	chr10
DIS3L	17938778	17954161	chr10
TIPIN	17962115	17954711	chr10
LOC101749757	17960974	17962670	chr10
MAP2K1	17965073	17996406	chr10
SNAPC5	17999465	17997037	chr10
RPL4	18005535	18000214	chr10
ZWILCH	18005939	18024168	chr10
LOC101747533	18016553	18014925	chr10
LOC769607	18020472	18016553	chr10
SMAD6	18170649	18198310	chr10
SMAD3	18283559	18343755	chr10
AAGAB	18367858	18347970	chr10
LOC415554	18367935	18426730	chr10
C10H15orf61	18430848	18433310	chr10
MAP2K5	18430852	18553752	chr10
MIR1642	18561845	18561918	chr10
PIAS1	18576427	18624861	chr10
CALML4	18632005	18629343	chr10
CLN6	18638897	18632520	chr10
FEM1B	18641302	18648029	chr10
ITGA11	18699980	18649055	chr10
CORO2B	18699160	18726749	chr10
ANP32A	18750027	18731444	chr10
NOX5	18770471	18776327	chr10
GLCE	18781099	18816280	chr10
PAQR5	18820929	18828329	chr10
KIF23	18828578	18846367	chr10
LOC101749125	18850854	18864423	chr10
LOC101749172	18903291	18918945	chr10
LOC100859437	18938038	18939323	chr10
LOC101749254	18954304	18956154	chr10
TLE3	18988294	18967658	chr10
LOC101749293	19067309	19063212	chr10
UACA	19120792	19102506	chr10
MORF4L1	19164790	19142759	chr10
TRNAK-CUU	19165132	19165060	chr10
ADAMTS7	19167204	19212692	chr10
FAM96A	19224713	19220194	chr10
SPG11	19225151	19251617	chr10
EIF3J	19260933	19252167	chr10
CTDSPL2	19300957	19265371	chr10
CASC4	19330984	19310281	chr10
FRMD5	19351187	19392428	chr10
WDR76	19399882	19393141	chr10
BLM	19416640	19400597	chr10
CTSH	19422774	19416853	chr10
RASGRF1	19441966	19423311	chr10
LOC101750028	19436203	19438940	chr10
MIR184	19462850	19462923	chr10
ANKRD34C	19471336	19475695	chr10
TMED3	19476146	19478072	chr10
GNRHR	19481383	19479075	chr10
MESP2	19483861	19482377	chr10
LOC100858087	19485868	19488333	chr10
ANPEP	19494098	19488689	chr10
AP3S2	19501385	19497717	chr10
ZNF710	19513686	19519689	chr10
IDH2	19522933	19519615	chr10
SEMA4B	19523144	19535987	chr10
CIB1	19539566	19537085	chr10
LOC100858151	19539710	19541015	chr10
C10H15ORF58	19540977	19553159	chr10
VPS33B	19554469	19561258	chr10
PRC1	19561591	19568333	chr10
RCCD1	19571014	19568294	chr10
UNC45A	19577298	19571188	chr10
LOC101751992	19579226	19577591	chr10
MAN2A2	19586460	19579339	chr10
FES	19592855	19587023	chr10
FURIN	19605068	19595670	chr10
MFAP1	19610670	19614413	chr10
HYPK	19615950	19614938	chr10
SERINC4	19616515	19620250	chr10
LOC100858360	19620672	19622670	chr10
PDIA3	19635090	19626178	chr10
CKMT1A	19641541	19638523	chr10
PPIP5K1	19647620	19687055	chr10
MAP1A	19739132	19689045	chr10
TP53BP1	19747194	19778344	chr10
TUBGCP4	19790861	19778488	chr10
IQGAP1	19795344	19845401	chr10
LOC101748538	19861319	19864821	chr10
LOC101748597	19873441	19876492	chr10
LOC100857252	92821	87828	chr10_random
LOC101750936	37318	38599	chr10_random
LOC415616	28526	18074	chr11
LTB4R	52661	51378	chr11
PLA2G15	69310	90484	chr11
LOC101751029	118738	101608	chr11
SMPD3	143419	253086	chr11
PRMT7	284437	267995	chr11
SLC7A6OS	284457	289962	chr11
SLC7A6	318986	291982	chr11
LOC101751464	338740	321460	chr11
TLR21	342562	346552	chr11
NDRG4	364480	348471	chr11
GINS3	379312	366428	chr11
CCDC113	413631	395947	chr11
CSNK2A2	403730	423842	chr11
C11H16ORF80	427734	434248	chr11
MMP15	443681	441277	chr11
C11H16ORF57	450180	446708	chr11
ZNF319	450511	455820	chr11
CNGB1	457633	472148	chr11
KIFC3	475483	487515	chr11
KATNB1	505356	488126	chr11
CCDC135	519697	507121	chr11
ZPD	520634	524601	chr11
GPR97	529513	525224	chr11
GPR56	538637	529561	chr11
GPR114	544813	541071	chr11
CCDC102A	547401	552059	chr11
DOK4	554956	558156	chr11
POLR2C	566301	558882	chr11
COQ9	572627	566404	chr11
CIAPIN1	572669	578648	chr11
LOC426456	586552	589273	chr11
GFOD2	591976	597475	chr11
CETP	597355	626596	chr11
C11H16ORF48	598878	606658	chr11
PARD6A	612802	607696	chr11
HERPUD1	613333	618669	chr11
NLRC5	627212	664753	chr11
CPNE2	665609	704768	chr11
FAM192A	716390	706206	chr11
RSPRY1	716666	748442	chr11
ARL2BP	748679	756207	chr11
PLLP	760232	759088	chr11
CX3CL1	766990	771271	chr11
CCL17	777062	778329	chr11
TRNAH-GUG	783679	783750	chr11
RANBP10	842249	788009	chr11
TSNAXIP1	842557	857697	chr11
CENPT	877494	860755	chr11
NUTF2	867145	906444	chr11
THAP11	877468	880207	chr11
EDC4	907938	939181	chr11
LOC100858970	940750	941509	chr11
PSKH1	944837	966885	chr11
CTRL	973321	971658	chr11
EXOC3L1	982909	974084	chr11
E2F4	983113	995049	chr11
ELMO3	995652	1004111	chr11
TMEM208	1005506	1011308	chr11
KIAA0895L	1023259	1011958	chr11
LCAT	1036713	1030247	chr11
TRNAK-UUU	1036883	1036955	chr11
LOC415661	1041897	1039248	chr11
LOC769668	1046674	1044431	chr11
LOC415662	1057230	1047966	chr11
LOC101747680	1060354	1059306	chr11
LOC415664	1064182	1067065	chr11
FAM65A	1074108	1093046	chr11
CTCF	1097769	1128266	chr11
RLTPR	1130091	1147559	chr11
ACD	1154742	1147524	chr11
LOC100857820	1154764	1160163	chr11
LOC101748539	1164866	1160264	chr11
AARS	1165618	1178012	chr11
LOC100857843	1183153	1179329	chr11
CLEC18A	1188267	1183402	chr11
LOC427533	1185547	1193614	chr11
ZDHHC1	1193805	1211410	chr11
TPPP3	1214111	1215453	chr11
KCTD19	1223835	1237296	chr11
PLEKHG4	1314458	1237588	chr11
MIR1616	1261963	1261870	chr11
LOC425403	1335721	1324955	chr11
FHOD1	1336850	1351341	chr11
LOC100858361	1355038	1364265	chr11
ATP6V0D1	1388745	1364353	chr11
AGRP	1391291	1389699	chr11
LOC769873	1394147	1398652	chr11
TRNAK-UUU	1398819	1398747	chr11
LOC101750922	1399015	1403083	chr11
CNOT1	1457797	1404550	chr11
LOC101749601	1457773	1460832	chr11
SLC38A7	1465514	1460062	chr11
GOT2	1476920	1467002	chr11
CALB2	1483925	1479377	chr11
PNP	1493235	1485160	chr11
FTSJD1	1501008	1510250	chr11
HYDIN	1537262	1641091	chr11
VAC14	1641769	1692730	chr11
TRNAG-GCC	1644315	1644245	chr11
TRNAG-GCC	1653157	1653227	chr11
MTSS1L	1696518	1703885	chr11
LOC101751691	1704888	1709018	chr11
IL34	1713041	1708672	chr11
TRNAG-GCC	1710014	1709944	chr11
TRNAG-GCC	1710438	1710368	chr11
SF3B3	1742693	1714129	chr11
COG4	1742789	1757447	chr11
FUK	1763939	1757719	chr11
ST3GAL2	1768531	1772380	chr11
PDPR	1792976	1772588	chr11
GLG1	1852411	1797112	chr11
RFWD3	1878498	1855380	chr11
MLKL	1883633	1878817	chr11
FA2H	1891931	1883836	chr11
LOC101752333	1888385	1890640	chr11
WDR59	1941775	1893270	chr11
MIR1643	1933588	1933494	chr11
ZNRF1	1942220	1954863	chr11
LDHD	1958514	1954847	chr11
LOC431235	1960906	1959118	chr11
LOC100859877	1963143	1965142	chr11
BCAR1	1969830	1965020	chr11
CFDP1	2023683	1972776	chr11
TMEM170A	2023935	2028065	chr11
SLC12A3	2035336	2028575	chr11
MIR138-2	2036325	2036243	chr11
NUP93	2109360	2038584	chr11
MT4	2112101	2110600	chr11
MT3	2114397	2113550	chr11
BBS2	2119716	2134759	chr11
OGFOD1	2146695	2138801	chr11
NUDT21	2147213	2153843	chr11
AMFR	2154520	2175193	chr11
GNAO1	2195648	2313150	chr11
CBFB	2339681	2377467	chr11
C11H16ORF70	2382964	2416471	chr11
B3GNT9	2430811	2421767	chr11
TRADD	2447037	2432324	chr11
FBXL8	2446974	2451163	chr11
HSF4	2451762	2466446	chr11
DNAAF1	2483872	2470343	chr11
HSDL1	2484347	2490475	chr11
MBTPS1	2492639	2517908	chr11
SLC38A8	2518864	2522778	chr11
NECAB2	2574800	2522873	chr11
OSGIN1	2607526	2589644	chr11
LOC101749274	2624555	2609090	chr11
LOC415708	2624652	2648941	chr11
LOC101749304	2664318	2659573	chr11
LOC101750299	2685170	2679472	chr11
ESRP2	2732929	2776481	chr11
NFATC3	2841212	2805580	chr11
DUS2L	2902348	2885567	chr11
DDX28	2901743	2904035	chr11
LOC415713	2921109	2905926	chr11
SLC4A1	2951885	2951224	chr11
SLC12A4	2960314	3006949	chr11
LOC101752262	3013166	3017241	chr11
SLC6A2	3112849	3049759	chr11
LPCAT2	3162107	3134165	chr11
CAPNS2	3143805	3141423	chr11
MMP2	3220007	3185300	chr11
LOC101752100	3459260	3450409	chr11
IRX5	3662717	3659648	chr11
FTO	4353178	4130949	chr11
RPGRIP1L	4353334	4417540	chr11
AKTIP	4460850	4469148	chr11
RBL2	4491553	4473556	chr11
CHD9	4570409	4495348	chr11
TOX3	4705274	4826826	chr11
LOC101747381	4892589	4900736	chr11
LOC101747428	5111754	5126154	chr11
LOC101747475	5235366	5233522	chr11
LOC100858601	5385876	5416645	chr11
SALL1	5417622	5432373	chr11
CYLD	5660109	5634365	chr11
SNX20	5659151	5670069	chr11
NKD1	5829490	5720970	chr11
LOC100859176	5904571	5915157	chr11
BRD7	5992790	6006701	chr11
ADCY7	6066958	6008116	chr11
PAPD5	6094766	6074676	chr11
HEATR3	6135319	6117164	chr11
CNEP1R1	6141434	6135567	chr11
ZNF423	6180932	6377000	chr11
LOC101748556	6475500	6522553	chr11
CBLN1	6524056	6526557	chr11
N4BP1	6773329	6790049	chr11
SIAH1	6797785	6861736	chr11
LONP2	6903373	6864106	chr11
LOC101748728	6908113	6904688	chr11
LOC101748763	6973041	6968058	chr11
PHKB	7061529	6993848	chr11
ITFG1	7064473	7135653	chr11
LOC101749011	7142424	7117026	chr11
NETO2	7142573	7169994	chr11
DNAJA2	7199931	7210458	chr11
CDCA9	7219627	7213393	chr11
GPT2	7243849	7221384	chr11
C11H16ORF87	7253006	7266622	chr11
MYLK3	7275004	7306229	chr11
ORC6	7312427	7307255	chr11
VPS35	7312587	7334453	chr11
LOC427545	7339592	7333766	chr11
SHCBP1	7350919	7366188	chr11
LOC101749602	7379495	7382838	chr11
UQCRFS1	7603928	7600575	chr11
LOC101749660	7639598	7730261	chr11
LOC101749699	7832860	7820857	chr11
POP4	7841312	7843923	chr11
LOC101749739	7855162	7852648	chr11
PLEKHF1	7855240	7861469	chr11
LOC100858381	7877791	7874752	chr11
LOC415756	7882876	7879299	chr11
C11H19ORF12	7888515	7881987	chr11
LOC415758	7931671	7895131	chr11
CCNE1	7933530	7945401	chr11
LOC101750460	7963402	7988236	chr11
URI1	7999192	8028601	chr11
ZNF536	8123443	8449551	chr11
MIR1789	8363039	8363101	chr11
MIR1791	8443431	8443515	chr11
LOC101750837	8684318	8683147	chr11
TSHZ3	8721238	8710177	chr11
LOC415763	8773930	8771882	chr11
LOC101751009	8803669	8796397	chr11
LOC101751109	8949298	8939818	chr11
ZNF507	9234699	9252219	chr11
LOC768565	9258289	9236107	chr11
DPY19L3	9256857	9287786	chr11
LOC427547	9335406	9287351	chr11
PDCD5	9338604	9342123	chr11
ANKRD27	9384567	9345364	chr11
RGS9BP	9386094	9390346	chr11
NUDT19	9396175	9400081	chr11
TDRD12	9402076	9424689	chr11
SLC7A9	9439193	9426936	chr11
CEP89	9467632	9446608	chr11
C11H19ORF40	9467800	9470516	chr11
RHPN2	9497523	9471560	chr11
GPATCH1	9503131	9516515	chr11
WDR88	9516604	9528748	chr11
TRNAT-AGU	9528828	9528901	chr11
LRP3	9541801	9568720	chr11
SLC7A10	9605660	9573242	chr11
LOC101747350	9777972	9747893	chr11
LOC100857873	9781076	9780493	chr11
CEBPG	9796417	9800911	chr11
PEPD	9920746	9804382	chr11
CHST8	10016712	10144462	chr11
KCTD15	10168414	10219357	chr11
LOC415780	10350372	10220729	chr11
LSM14A	10356455	10374063	chr11
SS18L2	10375340	10389113	chr11
KIAA0355	10420236	10377520	chr11
GPI	10450875	10471701	chr11
WTIP	10597868	10523623	chr11
UBA2	10619190	10605566	chr11
PDCD2L	10629096	10624074	chr11
CES1	10639528	10631033	chr11
LOC415787	10655640	10642618	chr11
FAM96B	10655817	10670825	chr11
RRAD	10672964	10678573	chr11
LOC769444	10725800	10704887	chr11
LOC100858078	10725864	10750902	chr11
PDP2	10765133	10760270	chr11
CA7	10786903	10772934	chr11
NAE1	10786610	10798981	chr11
MIR1634	10799331	10799426	chr11
CCDC79	10799875	10814382	chr11
DYNC1LI2	10817083	10842252	chr11
CMTM4	10854590	10888642	chr11
CMTM3	10903373	10892857	chr11
CKLF	10906359	10903705	chr11
TK2	10906480	10917657	chr11
LOC101749275	10923451	10919527	chr11
BEAN1	10965448	10927995	chr11
CDH5	11011468	10982215	chr11
LOC101749559	11030389	11381642	chr11
LOC100858757	11227921	11322589	chr11
CDH11	11582884	11662192	chr11
LOC101749359	11641271	11638326	chr11
LOC101749603	11855547	11849996	chr11
CDH8	12288497	12432363	chr11
LOC101750318	13150106	13148103	chr11
ADAMTS18	13323497	13253736	chr11
LOC769866	13415857	13423362	chr11
LOC415800	13424046	13427036	chr11
VAT1L	13444027	13488784	chr11
CLEC3A	13502852	13509812	chr11
WWOX	13522705	13995483	chr11
MAF	14154278	13994542	chr11
LOC100858311	14155177	14158597	chr11
LOC101750575	14161993	14158647	chr11
DYNLRB2	14589534	14594266	chr11
LOC101750706	14731200	14645466	chr11
CDYL2	14761130	14788590	chr11
C16ORF61	14833749	14824886	chr11
CENPN	14834309	14840371	chr11
ATMIN	14841773	14855528	chr11
GCSH	14881946	14874603	chr11
LOC100858437	14915275	14882050	chr11
BCMO1	14922969	14936617	chr11
GAN	14938721	14971667	chr11
CMIP	14995241	15117707	chr11
PLCG2	15138478	15195556	chr11
SDR42E1	15199907	15197572	chr11
HSD17B2	15211725	15221246	chr11
PNAT3	15247235	15250790	chr11
NAT	15251700	15256140	chr11
PNAT10	15257513	15262027	chr11
MPHOSPH6	15273462	15266286	chr11
LOC101751322	15311733	15278557	chr11
LOC101751361	15428186	15314148	chr11
CDH13	15430489	15845334	chr11
LOC101751407	15986991	15852015	chr11
MLYCD	16027279	16006608	chr11
LOC101751499	16059622	16078898	chr11
LOC101751585	16080630	16087912	chr11
HSBP1	16095109	16093279	chr11
KCNG4	16141010	16123766	chr11
LOC101751692	16167754	16166618	chr11
WFDC1	16191243	16203598	chr11
ATP2C2	16205009	16229125	chr11
KIAA1609	16241357	16229069	chr11
LOC101752085	16282313	16274649	chr11
COTL1	16301412	16284725	chr11
KLHL36	16301808	16316669	chr11
USP10	16340219	16368978	chr11
CRISPLD2	16374614	16399785	chr11
LOC101747400	16431934	16437682	chr11
LOC101747451	16446753	16450935	chr11
HNF4beta	16459264	16479967	chr11
ZDHHC7	16492038	16481660	chr11
LOC776594	16502545	16512435	chr11
MTHFSD	16833421	16848032	chr11
FOXF1	16861285	16857264	chr11
LOC101747746	16877348	16882489	chr11
IRF8	17063436	17057905	chr11
LOC768665	17077312	17066324	chr11
COX4I1	17081626	17077531	chr11
EMC8	17081812	17089239	chr11
LOC100858835	17093647	17097248	chr11
GINS2	17098219	17103115	chr11
KIAA0182	17192402	17104444	chr11
KIAA0513	17233219	17220891	chr11
FBXO31	17257249	17240415	chr11
TRNAM-CAU	17257670	17257598	chr11
ZCCHC14	17318171	17283523	chr11
JPH3	17334596	17376819	chr11
KLHDC4	17407856	17380192	chr11
SLC7A5	17461167	17422477	chr11
CA5B	17479386	17463916	chr11
BANP	17486311	17616586	chr11
ZNF469	17646375	17809128	chr11
ZFPM1	17814646	17844141	chr11
CIDEC	17846636	17844837	chr11
ZC3H18	17848125	17887040	chr11
MIR1571	17862696	17862793	chr11
IL17C	17888421	17893360	chr11
LOC100859840	17895499	17893467	chr11
MVD	17898830	17895859	chr11
RNF166	17906175	17900343	chr11
CTU2	17907846	17911299	chr11
FAM38A	17930702	17911237	chr11
CDT1	17932056	17935823	chr11
APRT	17939606	17936898	chr11
GALNS	17988565	17944300	chr11
TRAPPC2L	17988571	17991178	chr11
PABPN1	17996260	17992277	chr11
CBFA2T3	18018241	17997406	chr11
LOC101750165	18012374	18017874	chr11
ACSF3	18035637	18076364	chr11
ANKRD11	18142071	18079034	chr11
MIR1560	18095364	18095261	chr11
MIR1785	18154250	18154149	chr11
SPG7	18174615	18177951	chr11
RPL13	18179333	18183587	chr11
CPNE7	18185076	18190554	chr11
LOC415852	18194255	18191967	chr11
DPEP1	18194467	18198441	chr11
CHMP1A	18205994	18202289	chr11
CDK10	18207483	18211560	chr11
C11H16ORF7	18218251	18212019	chr11
ZNF276	18218291	18225436	chr11
FANCA	18257747	18225502	chr11
LOC769325	18260364	18259191	chr11
SPIRE2	18261199	18267214	chr11
LOC101748674	18261350	18263096	chr11
TCF25	18267767	18285670	chr11
MC1R	18287877	18288821	chr11
TUBB3	18290828	18292152	chr11
DEF8	18293268	18296750	chr11
DBNDD1	18300025	18297075	chr11
GAS8	18300558	18308188	chr11
LOC415859	18309808	18308197	chr11
LOC101749322	18310848	18310063	chr11
CDH3	18311391	18316948	chr11
CDH1	18317522	18326276	chr11
TANGO6	18328003	18340286	chr11
HAS3	18355070	18359094	chr11
CHTF8	18360459	18358807	chr11
CIRH1A	18360495	18365208	chr11
SNTB2	18365453	18370643	chr11
VPS4A	18371568	18374613	chr11
COG8	18378614	18375903	chr11
NIP7	18378684	18380052	chr11
TMED6	18383910	18379812	chr11
TERF2	18391819	18383988	chr11
CYB5B	18396032	18407917	chr11
NFAT5	18415930	18474957	chr11
LOC101750188	18466118	18458937	chr11
NQO1	18484421	18482566	chr11
NOB1	18487570	18484998	chr11
WWP2	18487655	18519315	chr11
MIR140	18514128	18514222	chr11
PSMD7	18524864	18520345	chr11
LOC101750598	18903966	18898279	chr11
MIR1699	18933125	18933029	chr11
ZFHX3	18936905	19035652	chr11
PMFBP1	19077819	19133428	chr11
LOC101750746	19094594	19095440	chr11
LOC415872	19145768	19141568	chr11
LOC100857777	19145759	19151018	chr11
DHX38	19161411	19150949	chr11
DHODH	19166255	19162774	chr11
IST1	19174304	19166611	chr11
ZNF821	19174554	19190842	chr11
ATXN1L	19194564	19187988	chr11
AP1G1	19195952	19237680	chr11
PHLPP2	19238988	19271484	chr11
MARVELD3	19275801	19272171	chr11
TAT	19280374	19289810	chr11
CHST4	19289886	19308607	chr11
TERF2IP	19310289	19307296	chr11
KARS	19309962	19322126	chr11
ADAT1	19322214	19342910	chr11
GABARAPL2	19355709	19341601	chr11
TMEM231	19355609	19361353	chr11
CHST6	19361071	19369932	chr11
LOC101747681	19391691	19395899	chr11
LOC100857313	74919	82207	chr11_random
HSD11B2	85910	95124	chr11_random
LOC100857345	100858	95212	chr11_random
LOC100857379	13001	11343	chr11_random
SLC9A5	53841	59622	chr11_random
LOC100857445	13970	31402	chr11_random
LOC769339	105954	116631	chr11_random
LOC101751621	122348	123175	chr11_random
LOC101751680	123919	123347	chr11_random
TMCO7	138009	149696	chr11_random
CEBPA	35245	35832	chr11_random
LOC100857578	7233	11034	chr11_random
LOC100857668	39465	44793	chr11_random
MAP1LC3B	51813	45004	chr11_random
LOC427569	23570	6704	chr12
RGPD1	68114	25338	chr12
RRP9	67975	81835	chr12
POC1A	84510	199686	chr12
DUSP7	203478	212529	chr12
LOC101749539	290458	369254	chr12
LOC101749582	376032	379982	chr12
RPL29	530131	533027	chr12
TNNC1	544256	538817	chr12
NISCH	545020	580103	chr12
STAB1	586070	637363	chr12
NT5DC2	663450	638899	chr12
PBRM1	726849	652061	chr12
SNHG8	663684	664628	chr12
GNL3	729282	737629	chr12
MIR1563	733993	734063	chr12
GLT8D1	743596	738362	chr12
SPCS1	744147	746435	chr12
NEK4	765128	748135	chr12
ITIH3	766397	787917	chr12
MUSTN1	803957	800693	chr12
LOC693265	808185	806300	chr12
MIR1719	835797	835709	chr12
SFMBT1	873933	841734	chr12
LOC100859462	1682435	953610	chr12
LOC100859515	1174389	1183220	chr12
LOC100857726	1184681	1183707	chr12
RFT1	1208689	1197697	chr12
LOC770702	1208786	1214951	chr12
LOC101750660	1215625	1218727	chr12
LOC101750726	1218769	1220251	chr12
LOC770556	1220115	1225716	chr12
PRKCD	1321865	1352504	chr12
LOC100859653	1395650	1353309	chr12
HYAL1	1408159	1406255	chr12
HYAL2	1410727	1408280	chr12
TUSC2	1417524	1413622	chr12
RASSF1	1422588	1418890	chr12
NPRL2	1434816	1423161	chr12
CYB561D2	1435839	1436705	chr12
TMEM115	1439232	1436946	chr12
CACNA2D2	1546291	1440168	chr12
LOC101750384	1583203	1585727	chr12
LOC415913	1695799	1728127	chr12
C12H3ORF18	1739359	1729156	chr12
HEMK1	1740463	1770588	chr12
CISH	1835428	1830960	chr12
MAPKAPK3	1838194	1881960	chr12
DOCK3	1938548	2206693	chr12
MANF	2209906	2217295	chr12
VPRBP	2270861	2221895	chr12
LOC415922	2283613	2278989	chr12
GBP	2288942	2286269	chr12
LOC101748064	2310514	2306337	chr12
LOC101748360	2322559	2323615	chr12
LOC101748300	2325306	2326171	chr12
LOC101748177	2335471	2338752	chr12
RNF123	2340051	2383402	chr12
AMIGO3	2382421	2373961	chr12
GMPPB	2385619	2383480	chr12
IP6K1	2420212	2385793	chr12
